Title,Artists,Cover Art URL,Release Year
Lover,Taylor Swift,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,2019
Love,The Cult,https://i.scdn.co/image/ab67616d00001e02bafa4476c5adb4741beb80fb,1985
lovely (with Khalid),"Billie Eilish, Khalid",https://i.scdn.co/image/ab67616d00001e028a3f0a3ca7929dea23cd274c,2018
Certified Lover Boy,Drake,https://i.scdn.co/image/ab67616d00001e02cd945b4e3de57edd28481a3f,2021
Love,The Beatles,https://i.scdn.co/image/ab67616d00001e0230503dbc30e621c96913379b,2006
Love Angel Music Baby (Deluxe Version),Gwen Stefani,https://i.scdn.co/image/ab67616d00001e027c7136a182372ccdffb3d3c4,2004
Death Race For Love (Bonus Track Version),Juice WRLD,https://i.scdn.co/image/ab67616d00001e028b27d35aa2c6dcf99895d664,2019
love (Deluxe Edition),Michael Bublé,https://i.scdn.co/image/ab67616d00001e025f3f20826d44c30a017fd68e,2018
Love Sick,Don Toliver,https://i.scdn.co/image/ab67616d00001e02feeff698e6090e6b02f21ec0,2023
We Love You Tecca,Lil Tecca,https://i.scdn.co/image/ab67616d00001e02bd69bbde4aeee723d6d08058,2019
Love,Troy Javelona,https://i.scdn.co/image/ab67616d00001e02bc07e47802af4d357fe3d8dc,2023
Love Is Only a Feeling,Joey Bada$$,https://i.scdn.co/image/ab67616d00001e02b142bbe4a766121f8d6fad41,2017
I Love You.,The Neighbourhood,https://i.scdn.co/image/ab67616d00001e028265a736a1eb838ad5a0b921,2013
love,DEAN,https://i.scdn.co/image/ab67616d00001e02ed3e641e274840b817860773,2017
Love Sick (Deluxe),Don Toliver,https://i.scdn.co/image/ab67616d00001e02f5e27c2aa0b110c2b6611577,2023
F*CK LOVE 3+: OVER YOU,The Kid LAROI,https://i.scdn.co/image/ab67616d00001e02b4d59e6fa7e5e7cbc57ac33a,2021
LOVE,PinocchioP,https://i.scdn.co/image/ab67616d00001e0291b70af377b617b29a43ea3d,2021
Love Yourself 結 'Answer',BTS,https://i.scdn.co/image/ab67616d00001e023825e6d4d02e4b4c0cec7e1d,2018
"""Awaken, My Love!""",Childish Gambino,https://i.scdn.co/image/ab67616d00001e027582716b3666a5235d5af4ea,2016
Love,Boyz II Men,https://i.scdn.co/image/ab67616d00001e02ba14555124af6f960dbcf187,2009
Love In The Future (Expanded Edition),John Legend,https://i.scdn.co/image/ab67616d00001e0294c9217a398f5174757c0c78,2013
Everything I Know About Love,Laufey,https://i.scdn.co/image/ab67616d00001e0248341e864d4b4881f56f01b4,2022
Love,BUNT.,https://i.scdn.co/image/ab67616d00001e02b31d0d12a86f51e7c0ecce06,2023
Love Deluxe,Sade,https://i.scdn.co/image/ab67616d00001e02ee65bbd54f993b5f01d5c511,1992
A Love Letter To You 4,Trippie Redd,https://i.scdn.co/image/ab67616d00001e02338fabbb1729a74d655a6a85,2019
LOVE,PEGGY,https://i.scdn.co/image/ab67616d00001e02f224ae3b4dc20e30d069282a,2022
Love Goes,Sam Smith,https://i.scdn.co/image/ab67616d00001e020d1f3930676c34a23dbf5c46,2020
Hard To Love,Moneybagg Yo,https://i.scdn.co/image/ab67616d00001e021a7fadc93eaa5c5749df4bc4,2023
LOVE,ADOY,https://i.scdn.co/image/ab67616d00001e02c6ca4d01582256abb044c223,2018
LOVELY BASTARDS,"ZWE1HVNDXR, yatashigang",https://i.scdn.co/image/ab67616d00001e02226383907a53ab4c13cca8e2,2023
Speakerboxxx/The Love Below,Outkast,https://i.scdn.co/image/ab67616d00001e026a6387ab37f64034cdc7b367,2003
love,Sion,https://i.scdn.co/image/ab67616d00001e0266afad059c017b4e238f3074,2022
Love And Sex,Plan B,https://i.scdn.co/image/ab67616d00001e02bd88e490e34600dad8add229,2014
I Love You So,The Walters,https://i.scdn.co/image/ab67616d00001e029214ff0109a0e062f8a6cf0f,2014
Love,Aztec Camera,https://i.scdn.co/image/ab67616d00001e0273b84535cb472a5d5a3acaa2,1987
Love Yourself 轉 'Tear',BTS,https://i.scdn.co/image/ab67616d00001e028fbcf6544ff02a8959a81781,2018
Her Love Still Haunts Me Like a Ghost,Montell Fish,https://i.scdn.co/image/ab67616d00001e02f46e995aa84c6eb1080100a4,2022
Love (Sprint Music Series),Keyshia Cole,https://i.scdn.co/image/ab67616d00001e028c7637be3f66753743a4fc01,2006
Love Story (Taylor’s Version),Taylor Swift,https://i.scdn.co/image/ab67616d00001e02877ea8fa223c26f19aaef92d,2021
We Love You Tecca 2,Lil Tecca,https://i.scdn.co/image/ab67616d00001e02f156ced88fa6920e86ddf11f,2021
Love (Expanded Edition),The Cult,https://i.scdn.co/image/ab67616d00001e027188470fba9ee69e9e1135cc,2009
"Love, Damini",Burna Boy,https://i.scdn.co/image/ab67616d00001e0212ebde47882280b814275600,2022
Dangerously In Love,Beyoncé,https://i.scdn.co/image/ab67616d00001e0245680a4a57c97894490a01c1,2003
Love,Hessu Salmela,https://i.scdn.co/image/ab67616d00001e026d06d30936f7c824a0c3bba6,2023
Love's Horizon,Astra Binary,https://i.scdn.co/image/ab67616d00001e02e203f21086d61030fdeb1176,2023
Pray 4 Love,Rod Wave,https://i.scdn.co/image/ab67616d00001e02759e4cc8e664b1d9e5c259cb,2020
Love,Cloud Cult,https://i.scdn.co/image/ab67616d00001e02ab127134b349969629ea5c69,2013
Love At First Sting,Scorpions,https://i.scdn.co/image/ab67616d00001e02926764eed4da16a86b9ce33e,1984
we fell in love in october / October Passed Me By,girl in red,https://i.scdn.co/image/ab67616d00001e02d6839051c4760457e1a60b2a,2018
LOVE,SUDA MASAKI,https://i.scdn.co/image/ab67616d00001e0264f8b19a1d66280b62aeaf0c,2019
Love Yourself 承 'Her',BTS,https://i.scdn.co/image/ab67616d00001e02829305487c8f3b96a1d955b3,2017
"How to: Friend, Love, Freefall",Rainbow Kitten Surprise,https://i.scdn.co/image/ab67616d00001e029529217e48fc8bab89c8a1f9,2018
love,Jimmy Brown,https://i.scdn.co/image/ab67616d00001e02e1c407025a7e4587fa7e5e03,2022
Love Me Instead,Kolton Moore & the Clever Few,https://i.scdn.co/image/ab67616d00001e020a4ba0029f4db65ee3036134,2012
Love,Damdamgugu,https://i.scdn.co/image/ab67616d00001e02c29ef8b25705e910a469d029,2021
LOVE FOR GUALA,Flipp Dinero,https://i.scdn.co/image/ab67616d00001e02b164878e278ee736452836c7,2019
Love,EKKSTACY,https://i.scdn.co/image/ab67616d00001e027bb13b1c4c49fc1bd3b08577,2020
Love?,Jennifer Lopez,https://i.scdn.co/image/ab67616d00001e02d7b2aa3834b82b1cbe899a48,2011
Love,Amen Dunes,https://i.scdn.co/image/ab67616d00001e02804a193a44cada046d5580fb,2014
Loveless,my bloody valentine,https://i.scdn.co/image/ab67616d00001e020ede770070357575bc050511,1991
FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",https://i.scdn.co/image/ab67616d00001e02e47439187384e475312992b9,2023
LOVE,Mika Nakashima,https://i.scdn.co/image/ab67616d00001e024bf585b597bb024c29251b8a,2003
Love Lies (with Normani),"Khalid, Normani",https://i.scdn.co/image/ab67616d00001e02dd7eaf261543814a6d715d67,2018
Real Love Baby,Father John Misty,https://i.scdn.co/image/ab67616d00001e02c6ad8b49ea263f4bd2ad57eb,2016
Love,Yosuf,https://i.scdn.co/image/ab67616d00001e02c7bce73fdf0963b4b26d9793,2023
Love Stuff,Elle King,https://i.scdn.co/image/ab67616d00001e02eb5a4a3ad6b9548ce4ca2c03,2015
The Truth About Love,P!nk,https://i.scdn.co/image/ab67616d00001e029d0f0d226987b449808e7b6f,2012
Love,Love,https://i.scdn.co/image/ab67616d00001e02a44333f2b91b35cbde87d19e,1966
Loveworm,beabadoobee,https://i.scdn.co/image/ab67616d00001e02ceca3ef39ab8f9b59acff394,2019
Love,Finding Hope,https://i.scdn.co/image/ab67616d00001e02fa7dde9b03552892394216b5,2017
Love/Hate,The-Dream,https://i.scdn.co/image/ab67616d00001e02c0272c5b4cba114ea0fb9e5c,2007
Pray 4 Love (Deluxe),Rod Wave,https://i.scdn.co/image/ab67616d00001e02b3d45b74fdf99c9cc88497d3,2020
love,Tatli,https://i.scdn.co/image/ab67616d00001e0265dc28d8a4e68e1fed2b3cc2,2023
Lovers Rock,Sade,https://i.scdn.co/image/ab67616d00001e0220fc6951e4d293707de2434c,2000
A Love Letter To You 3,Trippie Redd,https://i.scdn.co/image/ab67616d00001e02048720225cecc2f638987a39,2018
Love,Francois Klark,https://i.scdn.co/image/ab67616d00001e02068042aa05c8d06e658aa1ac,2018
lovestrong.,Christina Perri,https://i.scdn.co/image/ab67616d00001e0226a2f5224465a369f8abbf88,2011
FutureSex/LoveSounds,Justin Timberlake,https://i.scdn.co/image/ab67616d00001e02c6ba98fd3f3b396a6c6f7091,2006
Love,Daniel Kruglov,https://i.scdn.co/image/ab67616d00001e02e7a7ffb6c6d5112c13d82d5d,2021
Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,https://i.scdn.co/image/ab67616d00001e0246e379c721504777a62bd9b8,2012
LOVE,Thegiornalisti,https://i.scdn.co/image/ab67616d00001e0227a2587be32a2d089de18529,2018
Love Songs 4 the Streets 2,Lil Durk,https://i.scdn.co/image/ab67616d00001e028c20f9fe5d480d13f980edc2,2019
Love,Shaquees,https://i.scdn.co/image/ab67616d00001e02b1ca8df50bb5132240c4b299,2021
Love,BarbWalters,https://i.scdn.co/image/ab67616d00001e024568f8134c1138fdbd544883,2023
One Love (Deluxe),David Guetta,https://i.scdn.co/image/ab67616d00001e02b2e43ed3850e072831f7b2c6,2009
LOVE (triple j Like A Version),CHVRCHES,https://i.scdn.co/image/ab67616d00001e024246154ff7df8dbee7e47cb5,2018
LOVE,The Lumineers,https://i.scdn.co/image/ab67616d00001e02446e64f0e4f82e3d6bfb22c8,2021
Good News For People Who Love Bad News,Modest Mouse,https://i.scdn.co/image/ab67616d00001e02cc68329bfbf34037df965dc1,2004
Love,Kevin Yazzie,https://i.scdn.co/image/ab67616d00001e02dfbe060d8595962c551add6c,2010
Street Love,Lloyd,https://i.scdn.co/image/ab67616d00001e02eec376776dc8377060f2be5c,2007
Love,TopConniver,https://i.scdn.co/image/ab67616d00001e02e1a0f462fa35556bfa5b4b31,2023
A Love Letter To You,Trippie Redd,https://i.scdn.co/image/ab67616d00001e0273ec3245b8b61eb223f8994c,2017
Love,"Basement wave, Alex Ricellow",https://i.scdn.co/image/ab67616d00001e02af839fdec73c400430f50dda,2023
"I Love Life, Thank You",Mac Miller,https://i.scdn.co/image/ab67616d00001e02c8a77225ad852699c908ac4b,2022
Love,Alicks,https://i.scdn.co/image/ab67616d00001e02c6c7b88c182e9367589decfd,2022
Love,Thalia,https://i.scdn.co/image/ab67616d00001e029c96c41081dc0e67c4a49411,1992
LIVE.LOVE.A$AP,A$AP Rocky,https://i.scdn.co/image/ab67616d00001e02c8ced8a4d6b6b61eb592f3dd,2011
Love,Mr Izzi,https://i.scdn.co/image/ab67616d00001e021e5d53a2afee7dc0f6002318,2023
Love,CMJ,https://i.scdn.co/image/ab67616d00001e02618b918d116f1218eb54f945,2022
Love,Ian Wong,https://i.scdn.co/image/ab67616d00001e0274a6233392e73728d3728b13,2022
